step	loss	lr	tok_per_s	rss_mb	per_task
162	7.468136	1.9540e-05	492.4	14065	listen=6.5118(5) speak=9.0621(3) 
163	7.511241	1.9061e-05	509.7	14065	listen=6.5645(5) speak=9.0892(3) 
164	7.000877	1.8594e-05	432.5	14065	listen=6.2755(6) speak=9.1769(2) 
165	6.119233	1.8138e-05	375.5	14065	listen=6.0695(6) speak=8.5022(1) text=4.0347(1) 
166	7.306971	1.7693e-05	312.8	14065	listen=5.9185(3) speak=9.1865(4) text=3.9543(1) 
167	7.060594	1.7260e-05	320.0	14065	listen=6.4083(6) speak=9.0176(2) 
168	7.571223	1.6838e-05	468.3	14065	listen=5.9454(4) speak=9.1971(4) 
169	6.692418	1.6427e-05	477.0	14065	listen=6.2215(4) speak=9.0748(1) text=6.5262(3) 
170	8.490826	1.6029e-05	411.7	14065	listen=6.8061(2) speak=9.0524(6) 
171	8.451042	1.5642e-05	307.0	14065	listen=6.5914(2) speak=9.0709(6) 
172	7.562803	1.5267e-05	338.1	14065	listen=6.6666(5) speak=9.0564(3) 
173	7.500430	1.4905e-05	351.7	14065	listen=5.7017(3) speak=9.0830(4) text=6.5664(1) 
174	7.656093	1.4554e-05	301.8	14065	listen=6.4193(3) speak=9.2101(4) text=5.1506(1) 
175	6.925555	1.4216e-05	441.4	14065	listen=6.2325(5) speak=9.1854(2) text=5.8709(1) 
176	7.952826	1.3890e-05	522.7	14065	listen=6.7969(4) speak=9.1088(4) 
177	7.445257	1.3577e-05	359.4	14065	listen=6.5015(4) speak=9.1978(3) text=5.9625(1) 
178	7.722014	1.3277e-05	514.4	14065	listen=6.9337(4) speak=9.1996(3) text=6.4426(1) 
179	7.608856	1.2989e-05	410.9	14065	listen=6.4025(4) speak=8.8153(4) 
180	7.376985	1.2714e-05	373.2	14065	listen=6.3539(3) speak=9.0963(4) text=3.5691(1) 
181	8.098540	1.2452e-05	413.0	14065	listen=6.2870(3) speak=9.1855(5) 
182	7.288194	1.2202e-05	255.3	14065	listen=6.1669(5) speak=9.1571(3) 
183	7.318213	1.1966e-05	363.1	14065	listen=6.4434(3) speak=9.2304(3) text=5.7622(2) 
184	7.369180	1.1743e-05	296.4	14065	listen=6.2951(5) speak=9.1592(3) 
185	7.551385	1.1533e-05	337.3	14065	listen=6.0915(4) speak=9.0112(4) 
